,name ,rating ,cuisine,price,location,longitude,latitude ,time_table,place_tags,contact
"https://www.google.com/maps/place/The+Butcher's+Wife/@1.2612055,103.8100344,15z/data=!3m1!5s0x31da1979fcb3e41b:0x2b032eb6f3f2abf9!4m10!1m2!2m1!1srestaurants+!3m6!1s0x31da196f50d3461d:0xd3f78d165747503!8m2!3d1.2827407!4d103.8301992!15sCgtyZXN0YXVyYW50c1oNIgtyZXN0YXVyYW50c5IBFmdsdXRlbl9mcmVlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11g0m3pq_j?entry=ttu",The Butcher's Wife,4.5,,,"19 Yong Siak St, Singapore 168650",103.8301992,1.2827407,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
12–2:30 PM
6–9:30 PM
12–2:30 PM
6–9:30 PM
11:30 AM–2:30 PM
6–9:30 PM
11:30 AM–2:30 PM
6–9 PM
Closed
12–2:30 PM
6–9:30 PM
12–2:30 PM
6–9:30 PM","Outdoor seating
No-contact delivery
Delivery
Takeaway
Dine-in
Alcohol
Beer
Cocktails
Coffee
Organic dishes
Small plates
Spirits
Vegan options
Vegetarian options
Wine
Lunch
Dinner
Counter service
Dessert
Seating
Bar on site
Gender-neutral toilets
Toilets
Wi-Fi
Wi-Fi
Casual
Cosy
Family friendly
Groups
LGBTQ+ friendly
Transgender safe space
Accepts reservations
Credit cards
Debit cards
NFC mobile payments
Credit cards
Good for kids
High chairs
Paid parking lot
Paid street parking
Parking",+65 6221 9307
"https://www.google.com/maps/place/Little+Elephant+SG/@1.2612055,103.8100344,15z/data=!3m1!5s0x31da197a1726f33b:0xe3094f0446fd56fd!4m10!1m2!2m1!1srestaurants+!3m6!1s0x31da193bdca9dc67:0xa0736e223df9bdb0!8m2!3d1.2845571!4d103.8335678!15sCgtyZXN0YXVyYW50c1oNIgtyZXN0YXVyYW50c5IBD3RoYWlfcmVzdGF1cmFudOABAA!16s%2Fg%2F11g07_c8kv?entry=ttu",Little Elephant SG,4.2,Thai,$$,"57 Eng Hoon St, #01-72, Singapore 160057",103.8335678,1.2845570999999998,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
11 AM–10:30 PM
11 AM–10:30 PM
11 AM–10:30 PM
11 AM–10:30 PM
11 AM–10:30 PM
11 AM–10:30 PM
11 AM–10:30 PM","Outdoor seating
Delivery
Takeaway
Dine-in
Wheelchair-accessible entrance
Wheelchair-accessible seating
Alcohol
Beer
Happy-hour drinks
Small plates
Vegetarian options
Wine
Lunch
Dinner
Catering
Dessert
Seating
Toilets
Casual
Cosy
Family friendly
Groups
Accepts reservations
Credit cards
Debit cards
NFC mobile payments
Credit cards
Good for kids
High chairs",+65 6224 1646
https://www.google.com/maps/place/Ristorante+Luka+-+Tanjong+Pagar/data=!4m7!3m6!1s0x31da1972a6611247:0x38e6691b73e7238c!8m2!3d1.2799892!4d103.8438547!16s%2Fg%2F11g72n5y63!19sChIJRxJhpnIZ2jERjCPncxtp5jg?authuser=0&hl=en&rclk=1,Ristorante Luka - Tanjong Pagar,4.3,Italian,,"18 Tg Pagar Rd, Singapore 088441",103.8438547,1.2799892,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
12–2:30 PM
5:30–11 PM
12–2:30 PM
5:30–11 PM
12–2:30 PM
5:30–11 PM
12–2:30 PM
5:30–10:30 PM
12–2:30 PM
5:30–11 PM
12–2:30 PM
5:30–11 PM
12–2:30 PM
5:30–11 PM","Outdoor seating
Takeaway
Dine-in
Wheelchair-accessible car park
Wheelchair-accessible entrance
Alcohol
Beer
Cocktails
Coffee
Late-night food
Small plates
Spirits
Vegetarian options
Wine
Lunch
Dinner
Dessert
Seating
Bar on site
Toilets
Wi-Fi
Wi-Fi
Casual
Cosy
Family friendly
Groups
Accepts reservations
Credit cards
Debit cards
Credit cards
High chairs",+65 6221 3988
https://www.google.com/maps/place/98+Bistro/data=!4m7!3m6!1s0x31da19df526124d7:0xb863fd867ff28f4!8m2!3d1.2762126!4d103.8355282!16s%2Fg%2F11tjywwp9n!19sChIJ1yRhUt8Z2jER9Cj_Z9g_hgs?authuser=0&hl=en&rclk=1,98 Bistro,4.9,Bistro,,"85 Kampong Bahru Rd, #01-01, Singapore 169380",103.8355282,1.2762125999999998,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
12 PM–12 AM
12 PM–12 AM
3 PM–12 AM
3 PM–12 AM
12 PM–12 AM
12 PM–12 AM
12 PM–12 AM","Kerbside pickup
No-contact delivery
Delivery
Takeaway
Dine-in
Wheelchair-accessible entrance
Wheelchair-accessible seating
Wheelchair-accessible toilet
Alcohol
Beer
Cocktails
Coffee
Happy-hour drinks
Late-night food
Small plates
Spirits
Vegetarian options
Wine
Dinner
Counter service
Seating
Bar on site
Gender-neutral toilets
Toilets
Casual
Family friendly
Groups
LGBTQ+ friendly
Transgender safe space
Accepts reservations
Credit cards
Debit cards
NFC mobile payments
Credit cards
Good for kids
Paid parking lot
Paid street parking
Parking",+65 9117 9669
https://www.google.com/maps/place/DANIU+TEOCHEW+SEAFOOD+RESTAURANT/data=!4m7!3m6!1s0x31da19411bb422d9:0x4dd7c60bf29def8b!8m2!3d1.2765699!4d103.835969!16s%2Fg%2F11lgpnlqrn!19sChIJ2SK0G0EZ2jERi--d8gvG100?authuser=0&hl=en&rclk=1,DANIU TEOCHEW SEAFOOD RESTAURANT,4.2,Seafood,,"61 Kampong Bahru Rd, Singapore 169368",103.83596899999999,1.2765699,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
11:30 AM–2:30 PM
5:30–9:30 PM
11:30 AM–2:30 PM
5:30–9:30 PM
11:30 AM–2:30 PM
5:30–9:30 PM
11:30 AM–2:30 PM
5:30–9:30 PM
Closed
11:30 AM–2:30 PM
5:30–9:30 PM
11:30 AM–2:30 PM
5:30–9:30 PM","Kerbside pickup
No-contact delivery
Delivery
Takeaway
Dine-in
Wheelchair-accessible seating
Alcohol
Beer
Coffee
Small plates
Spirits
Wine
Breakfast
Lunch
Dinner
Dessert
Toilets
Casual
Groups
Accepts reservations
Good for kids
Paid parking lot
Parking",+65 6677 6725
https://www.google.com/maps/place/Loulou+-+French+Cuisine+%26+Wine+Bar/data=!4m7!3m6!1s0x31da193ea4bd3d99:0xa3e55bb7cc3e69a5!8m2!3d1.2794509!4d103.841602!16s%2Fg%2F11s3nx5zh8!19sChIJmT29pD4Z2jERpWk-zLdb5aM?authuser=0&hl=en&rclk=1,Loulou - French Cuisine & Wine Bar,4.5,French,,"6 Keong Saik Rd., Singapore 089114",103.84160200000001,1.2794508999999998,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
11:45 AM–2:30 PM
5:45–11 PM
11:45 AM–2:30 PM
5:45 PM–12 AM
11:45 AM–2:30 PM
5:45 PM–12 AM
11:45 AM–2:30 PM
5:45–11 PM
Closed
11:45 AM–2:30 PM
5:45–11 PM
11:45 AM–2:30 PM
5:45–11 PM","Outdoor seating
Takeaway
Dine-in
Alcohol
Beer
Cocktails
Coffee
Small plates
Spirits
Wine
Brunch
Lunch
Dinner
Dessert
Seating
Bar on site
Toilets
Wi-Fi
Wi-Fi
Casual
Cosy
Family friendly
Groups
Accepts reservations
Credit cards
Debit cards
Credit cards
Good for kids
High chairs
Paid street parking",+65 8660 4172
https://www.google.com/maps/place/Hua+Bee+Restaurant/data=!4m7!3m6!1s0x31da197bcb82be39:0x3c7287c8deb5ae76!8m2!3d1.2836475!4d103.8303519!16s%2Fg%2F1tjdcq2d!19sChIJOb6Cy3sZ2jERdq613siHcjw?authuser=0&hl=en&rclk=1,Hua Bee Restaurant,3.8,Chinese,$,"78 Moh Guan Terrace, #01-19 Block 78, Singapore 162078",103.8303519,1.2836475,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
7:30 AM–2:30 PM
7:30 AM–2:30 PM
7:30 AM–2:30 PM
Closed
Closed
7:30 AM–2:30 PM
7:30 AM–2:30 PM","Outdoor seating
Takeaway
Dine-in
Wheelchair-accessible car park
Coffee
Breakfast
Brunch
Lunch
Seating
Casual
Accepts reservations
Good for kids",+65 6438 4567
https://www.google.com/maps/place/Olivia+Restaurant+%26+Lounge/data=!4m7!3m6!1s0x31da199d6b0ff51d:0xcfefdfe5e4e69b18!8m2!3d1.2806358!4d103.8415896!16s%2Fg%2F11fk13x233!19sChIJHfUPa50Z2jERGJvm5OXf788?authuser=0&hl=en&rclk=1,Olivia Restaurant & Lounge,4.1,,$$$,"55 Keong Saik Rd., #01-03, Singapore 089158",103.84158959999999,1.2806358000000002,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
12–2:30 PM
6–10:30 PM
12–2:30 PM
6–10:30 PM
12–2:30 PM
6–10:30 PM
12–2:30 PM
6–10:30 PM
Closed
12–2:30 PM
6–10:30 PM
12–2:30 PM
6–10:30 PM","Outdoor seating
Kerbside pickup
Takeaway
Dine-in
Delivery
Great cocktails
Wheelchair-accessible seating
Alcohol
Beer
Cocktails
Coffee
Small plates
Spirits
Wine
Brunch
Lunch
Dinner
Dessert
Seating
Bar on site
Toilets
Cosy
Groups
Accepts reservations
Credit cards
Debit cards
NFC mobile payments
Credit cards
Paid street parking",+65 6221 0522
https://www.google.com/maps/place/Good+Eat’s+Family+Restaurant/data=!4m7!3m6!1s0x31da196c902234d9:0x637f562f6951ad45!8m2!3d1.2754419!4d103.8429367!16s%2Fg%2F1tcvwyq1!19sChIJ2TQikGwZ2jERRa1RaS9Wf2M?authuser=0&hl=en&rclk=1,Good Eat’s Family Restaurant,3.5,Chinese,$,"1 Tanjong Pagar Plz, #01-40, Singapore 082001",103.8429367,1.2754419,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
11:30 AM–8:30 PM
11:30 AM–8:30 PM
11:30 AM–8:30 PM
11:30 AM–8:30 PM
11:30 AM–8:30 PM
11:30 AM–8:30 PM
11:30 AM–8:30 PM","Takeaway
Dine-in
Coffee
Small plates
Brunch
Lunch
Dinner
Casual
Groups
Accepts reservations
Good for kids",+65 9088 5813
https://www.google.com/maps/place/Restaurant+Fiz/data=!4m7!3m6!1s0x31da195fe236cb27:0x5b6b71d5b37f7798!8m2!3d1.2796868!4d103.8440099!16s%2Fg%2F11twq106xc!19sChIJJ8s24l8Z2jERmHd_s9Vxa1s?authuser=0&hl=en&rclk=1,Restaurant Fiz,4.8,Fine Dining,$$$,"21 Tg Pagar Rd, #01-01/02 Next to the Fairfield Methodist Church, Singapore 088444",103.8440099,1.2796867999999997,"Thursday
Friday
Saturday
Sunday
Monday
Tuesday
Wednesday
12–3 PM
6–10 PM
12–3 PM
6–10 PM
12–3 PM
6–10 PM
Closed
Closed
6–10 PM
12–3 PM
6–10 PM","Dine-in
Delivery
Wheelchair-accessible seating
Wheelchair-accessible toilet
Assistive hearing loop
Wheelchair-accessible car park
Alcohol
Beer
Cocktails
Coffee
Private dining room
Spirits
Wine
Dinner
Dessert
Gender-neutral toilets
Toilets
Wi-Fi
Wi-Fi
Cosy
Family friendly
Groups
LGBTQ+ friendly
Transgender safe space
Reservations required
Accepts reservations
Credit cards
Debit cards
Credit cards",+65 9679 8021
